Year	fossil fuel and industry	land-use change emissions	atmospheric growth	ocean sink	land sink	budget imbalance
1959	2.45	1.81	2.04	0.85	0.52	0.86
1960	2.57	1.67	1.51	0.82	1.39	0.52
1961	2.58	1.61	1.65	0.71	0.61	1.21
1962	2.69	1.57	1.19	0.76	1.35	0.96
1963	2.83	1.51	1.21	0.90	0.88	1.36
1964	2.99	1.46	1.04	1.14	1.40	0.88
1965	3.13	1.42	2.33	1.29	0.42	0.50
1966	3.29	1.38	2.33	1.28	1.28	-0.22
1967	3.39	1.35	1.29	1.07	1.63	0.76
1968	3.57	1.35	2.10	1.10	2.53	-0.81
1969	3.78	1.36	2.80	1.14	0.50	0.70
1970	4.05	1.32	2.40	1.09	0.44	1.45
1971	4.21	1.28	1.55	1.16	2.46	0.33
1972	4.37	1.25	3.12	1.37	1.05	0.08
1973	4.61	1.22	3.10	1.38	1.46	-0.11
1974	4.62	1.18	1.44	1.29	4.07	-1.00
1975	4.59	1.15	2.61	1.36	2.44	-0.67
1976	4.86	1.13	2.06	1.37	2.96	-0.40
1977	5.01	1.11	4.07	1.48	1.42	-0.85
1978	5.07	1.07	2.73	1.49	2.82	-0.91
1979	5.35	1.04	4.54	1.30	1.54	-0.98
1980	5.29	1.09	3.60	1.65	0.52	0.61
1981	5.13	1.10	2.44	1.61	2.27	-0.10
1982	5.08	1.11	2.12	1.67	1.55	0.84
1983	5.06	1.15	3.90	1.83	0.22	0.27
1984	5.24	1.19	2.63	1.75	2.83	-0.78
1985	5.40	1.20	3.46	1.69	2.64	-1.18
1986	5.57	1.24	2.18	1.79	2.25	0.58
1987	5.71	1.28	5.70	1.81	0.32	-0.85
1988	5.92	1.30	4.75	1.71	1.89	-1.13
1989	6.05	1.32	2.93	1.71	3.52	-0.79
1990	6.05	1.32	2.50	1.84	2.34	0.69
1991	6.12	1.33	1.55	1.92	2.14	1.84
1992	6.06	1.35	1.48	2.16	2.01	1.75
1993	6.05	1.35	2.59	2.07	2.89	-0.15
1994	6.15	1.34	3.54	1.95	1.49	0.51
1995	6.28	1.33	4.18	1.90	1.64	-0.10
1996	6.42	1.31	2.29	1.84	3.14	0.46
1997	6.53	1.78	4.20	1.92	2.98	-0.79
1998	6.55	1.23	5.94	2.09	1.34	-1.60
1999	6.53	1.20	2.84	1.97	3.70	-0.78
2000	6.70	1.32	2.63	1.91	3.99	-0.51
2001	6.86	1.18	3.90	1.77	2.41	-0.04
2002	6.96	1.34	5.05	2.13	0.91	0.21
2003	7.33	1.39	4.83	2.16	2.31	-0.59
2004	7.69	1.34	3.29	2.08	3.46	0.20
2005	7.98	1.21	5.17	2.13	1.61	0.29
2006	8.27	1.25	3.75	2.21	3.12	0.44
2007	8.43	1.07	4.43	2.29	2.79	-0.02
2008	8.70	1.13	3.75	2.19	3.71	0.17
2009	8.60	1.57	3.43	2.30	2.77	1.67
2010	9.02	1.42	5.17	2.23	3.10	-0.06
2011	9.38	1.36	3.58	2.41	4.25	0.48
2012	9.53	1.60	5.05	2.46	2.49	1.13
2013	9.61	1.54	5.13	2.49	3.27	0.26
2014	9.69	1.60	4.32	2.56	3.80	0.61
2015	9.68	1.62	6.19	2.58	1.84	0.69
2016	9.74	1.30	6.04	2.64	2.58	-0.22
2017	9.87	1.39	4.64	2.51	3.78	0.32
