Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.29,-.18,-.12,-.20,-.12,-.25,-.21,-.10,-.17,-.25,-.20,-.21,-.19,***,***,-.14,-.19,-.21
1881,-.17,-.17,.04,.03,.01,-.23,-.07,-.05,-.15,-.21,-.21,-.11,-.11,-.12,-.18,.03,-.11,-.19
1882,.15,.17,.03,-.20,-.16,-.26,-.21,-.06,-.11,-.25,-.16,-.26,-.11,-.10,.07,-.11,-.18,-.18
1883,-.33,-.39,-.14,-.17,-.20,-.13,-.08,-.16,-.22,-.15,-.22,-.15,-.20,-.20,-.32,-.17,-.12,-.20
1884,-.15,-.07,-.37,-.44,-.37,-.42,-.35,-.27,-.27,-.24,-.29,-.29,-.29,-.28,-.12,-.39,-.34,-.27
1885,-.59,-.30,-.26,-.42,-.44,-.44,-.36,-.32,-.24,-.20,-.20,-.05,-.32,-.34,-.40,-.37,-.37,-.21
1886,-.43,-.46,-.38,-.28,-.25,-.40,-.22,-.35,-.26,-.29,-.30,-.25,-.32,-.31,-.31,-.30,-.32,-.28
1887,-.72,-.52,-.34,-.39,-.32,-.24,-.24,-.32,-.23,-.34,-.22,-.32,-.35,-.34,-.50,-.35,-.27,-.26
1888,-.37,-.35,-.41,-.22,-.22,-.18,-.10,-.16,-.09,.02,.02,-.06,-.18,-.20,-.35,-.29,-.15,-.02
1889,-.10,.19,.08,.08,-.03,-.14,-.10,-.20,-.21,-.22,-.32,-.29,-.11,-.09,.01,.04,-.15,-.25
1890,-.43,-.44,-.40,-.37,-.46,-.27,-.26,-.38,-.40,-.24,-.47,-.30,-.37,-.37,-.39,-.41,-.30,-.37
1891,-.41,-.46,-.18,-.29,-.19,-.21,-.21,-.17,-.14,-.21,-.34,-.04,-.24,-.26,-.39,-.22,-.20,-.23
1892,-.28,-.12,-.35,-.35,-.25,-.23,-.33,-.25,-.13,-.12,-.40,-.39,-.27,-.24,-.14,-.32,-.27,-.22
1893,-.79,-.54,-.23,-.29,-.35,-.29,-.16,-.26,-.21,-.17,-.16,-.34,-.32,-.32,-.57,-.29,-.24,-.18
1894,-.53,-.33,-.25,-.48,-.35,-.44,-.26,-.22,-.25,-.21,-.24,-.19,-.31,-.33,-.40,-.36,-.31,-.23
1895,-.44,-.42,-.29,-.25,-.27,-.23,-.17,-.16,-.09,-.08,-.14,-.15,-.22,-.23,-.35,-.27,-.19,-.10
1896,-.25,-.14,-.25,-.31,-.19,-.14,-.04,-.04,-.03,.11,-.07,-.04,-.12,-.13,-.18,-.25,-.08,.00
1897,-.14,-.15,-.13,-.02,-.05,-.16,-.07,-.11,-.08,-.12,-.18,-.18,-.12,-.10,-.11,-.07,-.11,-.13
1898,-.02,-.28,-.51,-.33,-.32,-.21,-.23,-.25,-.21,-.34,-.38,-.25,-.28,-.27,-.16,-.39,-.23,-.31
1899,-.18,-.40,-.34,-.20,-.24,-.33,-.18,-.06,-.03,-.05,.12,-.28,-.18,-.18,-.28,-.26,-.19,.02
1900,-.37,-.02,.01,-.12,-.11,-.13,-.13,-.11,-.05,.08,-.10,-.07,-.09,-.11,-.23,-.07,-.12,-.02
