Year,FFI,LUC,
1750,0.00,0.00,
1751,0.00,0.00,
1752,0.00,0.00,
1753,0.00,0.00,
1754,0.00,0.00,
1755,0.00,0.00,
1756,0.00,0.00,
1757,0.00,0.00,
1758,0.00,0.00,
1759,0.00,0.00,
1760,0.00,0.00,
1761,0.00,0.00,
1762,0.00,0.00,
1763,0.00,0.00,
1764,0.00,0.00,
1765,0.00,0.00,
1766,0.00,0.00,
1767,0.00,0.00,
1768,0.00,0.00,
1769,0.00,0.00,
1770,0.00,0.00,
1771,0.00,0.00,
1772,0.00,0.00,
1773,0.00,0.00,
1774,0.00,0.00,
1775,0.00,0.00,
1776,0.00,0.00,
1777,0.00,0.00,
1778,0.00,0.00,
1779,0.00,0.00,
1780,0.00,0.00,
1781,0.01,0.00,
1782,0.01,0.00,
1783,0.01,0.00,
1784,0.01,0.00,
1785,0.01,0.00,
1786,0.01,0.00,
1787,0.01,0.00,
1788,0.01,0.00,
1789,0.01,0.00,
1790,0.01,0.00,
1791,0.01,0.00,
1792,0.01,0.00,
1793,0.01,0.00,
1794,0.01,0.00,
1795,0.01,0.00,
1796,0.01,0.00,
1797,0.01,0.00,
1798,0.01,0.00,
1799,0.01,0.00,
1800,0.01,0.00,
1801,0.01,0.00,
1802,0.01,0.00,
1803,0.01,0.00,
1804,0.01,0.00,
1805,0.01,0.00,
1806,0.01,0.00,
1807,0.01,0.00,
1808,0.01,0.00,
1809,0.01,0.00,
1810,0.01,0.00,
1811,0.01,0.00,
1812,0.01,0.00,
1813,0.01,0.00,
1814,0.01,0.00,
1815,0.01,0.00,
1816,0.01,0.00,
1817,0.01,0.00,
1818,0.01,0.00,
1819,0.01,0.00,
1820,0.01,0.00,
1821,0.01,0.00,
1822,0.02,0.00,
1823,0.02,0.00,
1824,0.02,0.00,
1825,0.02,0.00,
1826,0.02,0.00,
1827,0.02,0.00,
1828,0.02,0.00,
1829,0.02,0.00,
1830,0.02,0.00,
1831,0.02,0.00,
1832,0.02,0.00,
1833,0.02,0.00,
1834,0.02,0.00,
1835,0.03,0.00,
1836,0.03,0.00,
1837,0.03,0.00,
1838,0.03,0.00,
1839,0.03,0.00,
1840,0.03,0.00,
1841,0.03,0.00,
1842,0.04,0.00,
1843,0.04,0.00,
1844,0.04,0.00,
1845,0.04,0.00,
1846,0.04,0.00,
1847,0.05,0.00,
1848,0.05,0.00,
1849,0.05,0.00,
1850,0.05,0.69,
1851,0.05,0.70,
1852,0.06,0.70,
1853,0.06,0.71,
1854,0.07,0.71,
1855,0.07,0.72,
1856,0.08,0.72,
1857,0.08,0.73,
1858,0.08,0.73,
1859,0.08,0.74,
1860,0.09,0.71,
1861,0.10,0.70,
1862,0.10,0.69,
1863,0.10,0.69,
1864,0.11,0.69,
1865,0.12,0.69,
1866,0.12,0.68,
1867,0.13,0.68,
1868,0.14,0.68,
1869,0.14,0.68,
1870,0.15,0.75,
1871,0.16,0.78,
1872,0.17,0.80,
1873,0.18,0.82,
1874,0.17,0.84,
1875,0.19,0.86,
1876,0.19,0.87,
1877,0.19,0.88,
1878,0.20,0.89,
1879,0.21,0.90,
1880,0.24,0.89,
1881,0.24,0.91,
1882,0.26,0.92,
1883,0.27,0.93,
1884,0.28,0.94,
1885,0.28,0.95,
1886,0.28,0.95,
1887,0.30,0.95,
1888,0.33,0.96,
1889,0.33,0.96,
1890,0.36,1.00,
1891,0.37,1.02,
1892,0.37,1.04,
1893,0.37,1.06,
1894,0.38,1.07,
1895,0.41,1.08,
1896,0.42,1.09,
1897,0.44,1.10,
1898,0.47,1.11,
1899,0.51,1.11,
1900,0.53,1.15,
1901,0.55,1.18,
1902,0.57,1.20,
1903,0.62,1.21,
1904,0.62,1.22,
1905,0.66,1.24,
1906,0.71,1.24,
1907,0.78,1.25,
1908,0.75,1.25,
1909,0.79,1.26,
1910,0.82,1.24,
1911,0.84,1.23,
1912,0.88,1.22,
1913,0.94,1.22,
1914,0.85,1.20,
1915,0.84,1.19,
1916,0.90,1.18,
1917,0.96,1.17,
1918,0.94,1.17,
1919,0.81,1.17,
1920,0.93,1.23,
1921,0.80,1.26,
1922,0.85,1.28,
1923,0.97,1.29,
1924,0.96,1.30,
1925,0.98,1.31,
1926,0.98,1.31,
1927,1.06,1.32,
1928,1.07,1.32,
1929,1.15,1.32,
1930,1.05,1.38,
1931,0.94,1.43,
1932,0.85,1.45,
1933,0.89,1.48,
1934,0.97,1.50,
1935,1.03,1.52,
1936,1.13,1.54,
1937,1.21,1.55,
1938,1.14,1.56,
1939,1.19,1.56,
1940,1.30,1.59,
1941,1.33,1.62,
1942,1.34,1.61,
1943,1.39,1.61,
1944,1.38,1.60,
1945,1.16,1.59,
1946,1.24,1.58,
1947,1.39,1.56,
1948,1.47,1.55,
1949,1.42,1.52,
1950,1.63,1.60,
1951,1.77,1.65,
1952,1.80,1.67,
1953,1.84,1.70,
1954,1.87,1.73,
1955,2.04,1.76,
1956,2.18,1.79,
1957,2.27,1.82,
1958,2.33,1.85,
1959,2.45,1.77,
1960,2.57,1.64,
1961,2.58,1.57,
1962,2.69,1.53,
1963,2.83,1.47,
1964,3.00,1.42,
1965,3.13,1.37,
1966,3.29,1.33,
1967,3.39,1.31,
1968,3.57,1.30,
1969,3.78,1.31,
1970,4.05,1.28,
1971,4.21,1.24,
1972,4.38,1.20,
1973,4.61,1.18,
1974,4.62,1.14,
1975,4.60,1.11,
1976,4.86,1.09,
1977,5.02,1.06,
1978,5.07,1.03,
1979,5.36,1.00,
1980,5.30,1.04,
1981,5.14,1.05,
1982,5.09,1.06,
1983,5.08,1.10,
1984,5.26,1.14,
1985,5.42,1.16,
1986,5.58,1.20,
1987,5.73,1.23,
1988,5.94,1.25,
1989,6.07,1.28,
1990,6.06,1.28,
1991,6.13,1.29,
1992,6.07,1.31,
1993,6.06,1.31,
1994,6.17,1.31,
1995,6.30,1.29,
1996,6.44,1.27,
1997,6.55,1.74,
1998,6.57,1.19,
1999,6.55,1.17,
2000,6.72,1.28,
2001,6.89,1.15,
2002,6.99,1.31,
2003,7.37,1.36,
2004,7.73,1.30,
2005,8.03,1.18,
2006,8.32,1.22,
2007,8.49,1.05,
2008,8.77,1.10,
2009,8.69,1.52,
2010,9.12,1.37,
2011,9.50,1.32,
2012,9.67,1.38,
2013,9.77,1.41,
2014,9.85,1.38,
2015,9.83,1.52,
