"-------------------------------------------------------------------------------------------"
" Monthly average C13 concentrations (per mil) derived from flask air samples               "
" Mauna Loa, Hawaii 156W 20N                                                                "
"                                                                                           "
" Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher and S. J. Walker                   "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu) and            "
" and Dr. Stephen Piper (scpiper@popmail.ucsd.edu), Scripps CO2 Program.                    "
"                                                                                           "
" Flask data in this file through 16-Oct-2018 last updated 29-Oct-2018                      "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats. Column 5 below gives monthly isotope concentrations in per-mil.  This is the     "
" standard version of the data most often sought.  The monthly values have been adjusted    "
" to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  "
" adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           "
" subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      "
" smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic "
" functions with linear gain.  Column 8 is the same smoothed version with the seasonal      "
" cycle removed.  Column 9 is identical to Column 5 except that the missing values from     "
" Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  "
" except missing values have been filled with values from Column 8.  Missing values are     "
" denoted by -99.99                                                                         "
"                                                                                           "
" CO2 concentrations are measured on the '08A' calibration scale                            "
"                                                                                           "
  Yr, Mn,    Date,      Date,     C13,seasonally,        fit,  seasonally,      C13, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,[per mil],[per mil],  [per mil],[per mil],  [per mil],[per mil]
1980, 01,   29235, 1980.0410,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1980, 02,   29266, 1980.1257,    -7.60,    -7.56,      -7.60,    -7.56,      -7.60,    -7.56
1980, 03,   29295, 1980.2049,    -7.71,    -7.62,      -7.65,    -7.56,      -7.71,    -7.62
1980, 04,   29326, 1980.2896,    -7.64,    -7.49,      -7.71,    -7.56,      -7.64,    -7.49
1980, 05,   29356, 1980.3716,    -7.68,    -7.51,      -7.74,    -7.57,      -7.68,    -7.51
1980, 06,   29387, 1980.4563,   -99.99,   -99.99,      -7.69,    -7.57,      -7.69,    -7.57
1980, 07,   29417, 1980.5383,    -7.59,    -7.57,      -7.59,    -7.58,      -7.59,    -7.57
1980, 08,   29448, 1980.6230,    -7.47,    -7.58,      -7.47,    -7.58,      -7.47,    -7.58
1980, 09,   29479, 1980.7077,    -7.44,    -7.62,      -7.40,    -7.58,      -7.44,    -7.62
1980, 10,   29509, 1980.7896,    -7.48,    -7.64,      -7.42,    -7.59,      -7.48,    -7.64
1980, 11,   29540, 1980.8743,    -7.46,    -7.55,      -7.49,    -7.59,      -7.46,    -7.55
1980, 12,   29570, 1980.9563,   -99.99,   -99.99,      -7.55,    -7.59,      -7.55,    -7.59
1981, 01,   29601, 1981.0411,    -7.57,    -7.57,      -7.59,    -7.59,      -7.57,    -7.57
1981, 02,   29632, 1981.1260,    -7.64,    -7.60,      -7.64,    -7.59,      -7.64,    -7.60
1981, 03,   29660, 1981.2027,   -99.99,   -99.99,      -7.69,    -7.59,      -7.69,    -7.59
1981, 04,   29691, 1981.2877,    -7.74,    -7.59,      -7.75,    -7.60,      -7.74,    -7.59
1981, 05,   29721, 1981.3699,    -7.82,    -7.66,      -7.76,    -7.60,      -7.82,    -7.66
1981, 06,   29752, 1981.4548,    -7.76,    -7.64,      -7.72,    -7.60,      -7.76,    -7.64
1981, 07,   29782, 1981.5370,   -99.99,   -99.99,      -7.61,    -7.60,      -7.61,    -7.60
1981, 08,   29813, 1981.6219,    -7.49,    -7.59,      -7.49,    -7.60,      -7.49,    -7.59
1981, 09,   29844, 1981.7068,    -7.39,    -7.57,      -7.42,    -7.59,      -7.39,    -7.57
1981, 10,   29874, 1981.7890,    -7.35,    -7.51,      -7.43,    -7.59,      -7.35,    -7.51
1981, 11,   29905, 1981.8740,    -7.46,    -7.56,      -7.50,    -7.59,      -7.46,    -7.56
