"-------------------------------------------------------------------------------------------"
" Monthly average CO2 concentrations (ppm) derived from flask air samples                   "
" Mauna Loa, Hawaii 156W 20N                                                                "
"                                                                                           "
" Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher and S. J. Walker                   "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu) and            "
" and Dr. Stephen Piper (scpiper@popmail.ucsd.edu), Scripps CO2 Program.                    "
"                                                                                           "
" Flask data in this file through 16-Oct-2018 last updated 29-Oct-2018                      "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats. Column 5 below gives monthly CO2 concentrations in micro-mol CO2 per mole (ppm)  "
" reported on the 2008A SIO manometric mole fraction scale.  This is the standard           "
" version of the data most often sought.  The monthly values have been adjusted             "
" to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  "
" adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           "
" subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      "
" smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic "
" functions with linear gain.  Column 8 is the same smoothed version with the seasonal      "
" cycle removed.  Column 9 is identical to Column 5 except that the missing values from     "
" Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  "
" except missing values have been filled with values from Column 8.  Missing values are     "
" denoted by -99.99                                                                         "
"                                                                                           "
" CO2 concentrations are measured on the '08A' calibration scale                            "
"                                                                                           "
  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,   [ppm],    [ppm] ,      [ppm],    [ppm],       [ppm],    [ppm]
1960, 01,   21930, 1960.0410,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1960, 02,   21961, 1960.1257,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1960, 03,   21990, 1960.2049,   317.69,   316.28,     317.76,   316.33,     317.69,   316.28
1960, 04,   22021, 1960.2896,   319.06,   316.55,     318.94,   316.41,     319.06,   316.55
1960, 05,   22051, 1960.3716,   -99.99,   -99.99,     319.45,   316.49,     319.45,   316.49
1960, 06,   22082, 1960.4563,   -99.99,   -99.99,     318.70,   316.58,     318.70,   316.58
1960, 07,   22112, 1960.5383,   -99.99,   -99.99,     317.13,   316.66,     317.13,   316.66
1960, 08,   22143, 1960.6230,   315.74,   317.33,     315.12,   316.74,     315.74,   317.33
1960, 09,   22174, 1960.7077,   -99.99,   -99.99,     313.68,   316.82,     313.68,   316.82
1960, 10,   22204, 1960.7896,   312.84,   315.89,     313.87,   316.91,     312.84,   315.89
1960, 11,   22235, 1960.8743,   -99.99,   -99.99,     315.22,   316.99,     315.22,   316.99
1960, 12,   22265, 1960.9563,   316.80,   317.47,     316.43,   317.08,     316.80,   317.47
1961, 01,   22296, 1961.0411,   317.40,   317.31,     317.27,   317.17,     317.40,   317.31
1961, 02,   22327, 1961.1260,   -99.99,   -99.99,     317.93,   317.26,     317.93,   317.26
1961, 03,   22355, 1961.2027,   318.13,   316.74,     318.74,   317.34,     318.13,   316.74
1961, 04,   22386, 1961.2877,   -99.99,   -99.99,     319.94,   317.43,     319.94,   317.43
1961, 05,   22416, 1961.3699,   -99.99,   -99.99,     320.49,   317.52,     320.49,   317.52
1961, 06,   22447, 1961.4548,   318.82,   316.64,     319.77,   317.61,     318.82,   316.64
1961, 07,   22477, 1961.5370,   318.94,   318.41,     318.20,   317.70,     318.94,   318.41
1961, 08,   22508, 1961.6219,   315.49,   317.06,     316.18,   317.79,     315.49,   317.06
1961, 09,   22539, 1961.7068,   315.62,   318.76,     314.71,   317.86,     315.62,   318.76
1961, 10,   22569, 1961.7890,   314.91,   317.97,     314.88,   317.93,     314.91,   317.97
1961, 11,   22600, 1961.8740,   316.17,   317.98,     316.20,   317.98,     316.17,   317.98
1961, 12,   22630, 1961.9562,   318.15,   318.82,     317.38,   318.03,     318.15,   318.82
1962, 01,   22661, 1962.0411,   317.86,   317.77,     318.18,   318.08,     317.86,   317.77
1962, 02,   22692, 1962.1260,   318.35,   317.68,     318.79,   318.11,     318.35,   317.68
