"-------------------------------------------------------------------------------------------"
" Monthly average O18 concentrations (per mil) derived from flask air samples               "
" Mauna Loa, Hawaii 156W 20N                                                                "
"                                                                                           "
" Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher and S. J. Walker                   "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu) and            "
" and Dr. Stephen Piper (scpiper@popmail.ucsd.edu), Scripps CO2 Program.                    "
"                                                                                           "
" Flask data in this file through 20-Nov-2018 last updated 30-Nov-2018                      "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats. Column 5 below gives monthly isotope concentrations in per-mil.  This is the     "
" standard version of the data most often sought.  The monthly values have been adjusted    "
" to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  "
" adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           "
" subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      "
" smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic "
" functions with linear gain.  Column 8 is the same smoothed version with the seasonal      "
" cycle removed.  Column 9 is identical to Column 5 except that the missing values from     "
" Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  "
" except missing values have been filled with values from Column 8.  Missing values are     "
" denoted by -99.99                                                                         "
"                                                                                           "
" CO2 concentrations are measured on the '08A' calibration scale                            "
"                                                                                           "
  Yr, Mn,    Date,      Date,     O18,seasonally,        fit,  seasonally,      O18, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,[per mil],[per mil],  [per mil],[per mil],  [per mil],[per mil]
1980, 01,   29235, 1980.0410,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1980, 02,   29266, 1980.1257,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1980, 03,   29295, 1980.2049,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1980, 04,   29326, 1980.2896,    -0.15,    -0.21,       0.14,     0.08,      -0.15,    -0.21
1980, 05,   29356, 1980.3716,     0.07,    -0.01,       0.18,     0.10,       0.07,    -0.01
1980, 06,   29387, 1980.4563,   -99.99,   -99.99,       0.25,     0.11,       0.25,     0.11
1980, 07,   29417, 1980.5383,     0.35,     0.19,       0.28,     0.13,       0.35,     0.19
1980, 08,   29448, 1980.6230,     0.41,     0.32,       0.23,     0.14,       0.41,     0.32
1980, 09,   29479, 1980.7077,     0.20,     0.27,       0.09,     0.15,       0.20,     0.27
1980, 10,   29509, 1980.7896,     0.18,     0.37,      -0.03,     0.17,       0.18,     0.37
1980, 11,   29540, 1980.8743,     0.13,     0.36,      -0.05,     0.18,       0.13,     0.36
1980, 12,   29570, 1980.9563,   -99.99,   -99.99,       0.05,     0.19,       0.05,     0.19
1981, 01,   29601, 1981.0411,     0.06,     0.08,       0.19,     0.20,       0.06,     0.08
1981, 02,   29632, 1981.1260,   -99.99,   -99.99,       0.28,     0.21,       0.28,     0.21
1981, 03,   29660, 1981.2027,   -99.99,   -99.99,       0.30,     0.22,       0.30,     0.22
1981, 04,   29691, 1981.2877,     0.14,     0.07,       0.29,     0.23,       0.14,     0.07
1981, 05,   29721, 1981.3699,     0.13,     0.05,       0.33,     0.25,       0.13,     0.05
1981, 06,   29752, 1981.4548,     0.24,     0.10,       0.39,     0.26,       0.24,     0.10
1981, 07,   29782, 1981.5370,   -99.99,   -99.99,       0.43,     0.27,       0.43,     0.27
1981, 08,   29813, 1981.6219,     0.42,     0.33,       0.37,     0.28,       0.42,     0.33
1981, 09,   29844, 1981.7068,     0.24,     0.30,       0.23,     0.30,       0.24,     0.30
1981, 10,   29874, 1981.7890,     0.42,     0.61,       0.11,     0.31,       0.42,     0.61
1981, 11,   29905, 1981.8740,     0.30,     0.53,       0.10,     0.32,       0.30,     0.53
1981, 12,   29935, 1981.9562,     0.04,     0.18,       0.19,     0.33,       0.04,     0.18
1982, 01,   29966, 1982.0411,     0.33,     0.35,       0.33,     0.35,       0.33,     0.35
1982, 02,   29997, 1982.1260,     0.36,     0.29,       0.42,     0.36,       0.36,     0.29
1982, 03,   30025, 1982.2027,   -99.99,   -99.99,       0.45,     0.37,       0.45,     0.37
1982, 04,   30056, 1982.2877,     0.46,     0.40,       0.45,     0.39,       0.46,     0.40
1982, 05,   30086, 1982.3699,     0.33,     0.25,       0.48,     0.40,       0.33,     0.25
1982, 06,   30117, 1982.4548,     0.39,     0.25,       0.55,     0.41,       0.39,     0.25
1982, 07,   30147, 1982.5370,     0.56,     0.40,       0.58,     0.42,       0.56,     0.40
1982, 08,   30178, 1982.6219,     0.64,     0.55,       0.52,     0.44,       0.64,     0.55
1982, 09,   30209, 1982.7068,     0.54,     0.60,       0.38,     0.45,       0.54,     0.60
1982, 10,   30239, 1982.7890,     0.32,     0.52,       0.26,     0.46,       0.32,     0.52
1982, 11,   30270, 1982.8740,     0.23,     0.46,       0.24,     0.46,       0.23,     0.46
1982, 12,   30300, 1982.9562,     0.28,     0.42,       0.33,     0.47,       0.28,     0.42
1983, 01,   30331, 1983.0411,     0.58,     0.60,       0.46,     0.48,       0.58,     0.60
1983, 02,   30362, 1983.1260,     0.59,     0.53,       0.55,     0.48,       0.59,     0.53
1983, 03,   30390, 1983.2027,     0.45,     0.38,       0.56,     0.49,       0.45,     0.38
1983, 04,   30421, 1983.2877,     0.68,     0.61,       0.55,     0.49,       0.68,     0.61
1983, 05,   30451, 1983.3699,     0.46,     0.38,       0.57,     0.49,       0.46,     0.38
1983, 06,   30482, 1983.4548,     0.58,     0.45,       0.62,     0.49,       0.58,     0.45
1983, 07,   30512, 1983.5370,     0.70,     0.55,       0.65,     0.49,       0.70,     0.55
1983, 08,   30543, 1983.6219,     0.66,     0.58,       0.58,     0.49,       0.66,     0.58
1983, 09,   30574, 1983.7068,     0.53,     0.59,       0.42,     0.49,       0.53,     0.59
1983, 10,   30604, 1983.7890,     0.30,     0.50,       0.29,     0.48,       0.30,     0.50
1983, 11,   30635, 1983.8740,     0.27,     0.50,       0.25,     0.48,       0.27,     0.50
1983, 12,   30665, 1983.9562,     0.32,     0.47,       0.33,     0.48,       0.32,     0.47
1984, 01,   30696, 1984.0410,     0.35,     0.37,       0.45,     0.47,       0.35,     0.37
1984, 02,   30727, 1984.1257,     0.32,     0.26,       0.53,     0.46,       0.32,     0.26
1984, 03,   30756, 1984.2049,   -99.99,   -99.99,       0.53,     0.46,       0.53,     0.46
1984, 04,   30787, 1984.2896,     0.50,     0.44,       0.51,     0.45,       0.50,     0.44
1984, 05,   30817, 1984.3716,     0.61,     0.53,       0.53,     0.45,       0.61,     0.53
1984, 06,   30848, 1984.4563,     0.50,     0.36,       0.58,     0.44,       0.50,     0.36
1984, 07,   30878, 1984.5383,     0.38,     0.23,       0.59,     0.44,       0.38,     0.23
1984, 08,   30909, 1984.6230,     0.47,     0.39,       0.52,     0.43,       0.47,     0.39
1984, 09,   30940, 1984.7077,     0.31,     0.37,       0.36,     0.43,       0.31,     0.37
1984, 10,   30970, 1984.7896,     0.25,     0.44,       0.23,     0.42,       0.25,     0.44
1984, 11,   31001, 1984.8743,     0.15,     0.38,       0.19,     0.42,       0.15,     0.38
1984, 12,   31031, 1984.9563,     0.35,     0.50,       0.27,     0.41,       0.35,     0.50
1985, 01,   31062, 1985.0411,     0.49,     0.51,       0.39,     0.40,       0.49,     0.51
1985, 02,   31093, 1985.1260,     0.62,     0.56,       0.46,     0.40,       0.62,     0.56
1985, 03,   31121, 1985.2027,     0.53,     0.45,       0.46,     0.39,       0.53,     0.45
1985, 04,   31152, 1985.2877,     0.42,     0.36,       0.44,     0.38,       0.42,     0.36
1985, 05,   31182, 1985.3699,     0.56,     0.49,       0.45,     0.37,       0.56,     0.49
1985, 06,   31213, 1985.4548,     0.35,     0.21,       0.49,     0.36,       0.35,     0.21
1985, 07,   31243, 1985.5370,     0.43,     0.28,       0.51,     0.35,       0.43,     0.28
1985, 08,   31274, 1985.6219,     0.48,     0.40,       0.43,     0.34,       0.48,     0.40
1985, 09,   31305, 1985.7068,     0.32,     0.38,       0.27,     0.34,       0.32,     0.38
1985, 10,   31335, 1985.7890,    -0.03,     0.16,       0.13,     0.33,      -0.03,     0.16
1985, 11,   31366, 1985.8740,     0.13,     0.36,       0.10,     0.32,       0.13,     0.36
1985, 12,   31396, 1985.9562,     0.11,     0.26,       0.18,     0.32,       0.11,     0.26
1986, 01,   31427, 1986.0411,     0.28,     0.30,       0.30,     0.32,       0.28,     0.30
1986, 02,   31458, 1986.1260,     0.35,     0.29,       0.38,     0.32,       0.35,     0.29
1986, 03,   31486, 1986.2027,     0.27,     0.20,       0.39,     0.32,       0.27,     0.20
1986, 04,   31517, 1986.2877,     0.19,     0.13,       0.38,     0.32,       0.19,     0.13
1986, 05,   31547, 1986.3699,     0.35,     0.27,       0.41,     0.33,       0.35,     0.27
1986, 06,   31578, 1986.4548,     0.48,     0.35,       0.47,     0.34,       0.48,     0.35
1986, 07,   31608, 1986.5370,     0.43,     0.28,       0.50,     0.34,       0.43,     0.28
1986, 08,   31639, 1986.6219,     0.55,     0.47,       0.44,     0.35,       0.55,     0.47
1986, 09,   31670, 1986.7068,     0.36,     0.42,       0.30,     0.36,       0.36,     0.42
1986, 10,   31700, 1986.7890,     0.21,     0.40,       0.18,     0.37,       0.21,     0.40
1986, 11,   31731, 1986.8740,     0.18,     0.41,       0.15,     0.38,       0.18,     0.41
