Year,Month,Anomaly,Unc.
1850,1,-0.744,0.414
1850,2,-0.091,0.507
1850,3,-0.359,0.47
1850,4,-0.647,0.38
1850,5,-0.754,0.207
1850,6,-0.433,0.245
1850,7,-0.286,0.194
1850,8,-0.259,0.2
1850,9,-0.536,0.176
1850,10,-0.675,0.266
1850,11,-0.563,0.355
1850,12,-0.418,0.349
1851,1,-0.233,0.404
1851,2,-0.398,0.397
1851,3,-0.64,0.358
1851,4,-0.728,0.265
1851,5,-0.354,0.31
1851,6,-0.295,0.293
1851,7,-0.211,0.207
1851,8,-0.281,0.263
1851,9,-0.37,0.206
1851,10,-0.143,0.359
1851,11,-0.362,0.3
1851,12,-0.074,0.646
1852,1,-0.131,0.566
1852,2,-0.543,0.459
1852,3,-0.751,0.424
1852,4,-0.551,0.327
1852,5,-0.205,0.31
1852,6,-0.191,0.193
1852,7,-0.08,0.213
1852,8,-0.388,0.204
1852,9,-0.41,0.194
1852,10,-0.202,0.261
1852,11,-0.63,0.32
1852,12,0.043,0.406
1853,1,-0.329,0.517
1853,2,-0.665,0.458
1853,3,-0.43,0.435
1853,4,-0.479,0.256
1853,5,-0.33,0.218
1853,6,-0.242,0.204
1853,7,-0.062,0.234
1853,8,-0.14,0.216
1853,9,-0.444,0.192
1853,10,-0.522,0.308
1853,11,-0.617,0.317
1853,12,-0.268,0.331
1854,1,-0.518,0.475
1854,2,-0.567,0.499
1854,3,-0.273,0.317
1854,4,-0.359,0.264
1854,5,-0.314,0.217
1854,6,-0.509,0.179
1854,7,-0.181,0.207
1854,8,-0.188,0.258
1854,9,-0.339,0.212
1854,10,0.034,0.436
1854,11,-0.268,0.415
1854,12,-0.096,0.492
1855,1,-0.047,0.538
1855,2,-0.072,0.466
1855,3,-0.29,0.383
1855,4,0.088,0.291
1855,5,-0.24,0.286
1855,6,-0.25,0.2
1855,7,-0.343,0.18
1855,8,-0.297,0.249
1855,9,-0.531,0.224
1855,10,-0.358,0.299
1855,11,-0.382,0.315
1855,12,-0.578,0.441
1856,1,-0.139,0.326
1856,2,-0.611,0.344
1856,3,-0.509,0.355
1856,4,-0.328,0.196
1856,5,-0.315,0.223
1856,6,-0.14,0.318
1856,7,-0.386,0.303
1856,8,-0.574,0.221
1856,9,-0.756,0.214
1856,10,-0.651,0.2
1856,11,-0.639,0.27
1856,12,-0.429,0.326
1857,1,-0.569,0.459
1857,2,-0.452,0.476
1857,3,-0.496,0.316
1857,4,-0.834,0.223
1857,5,-0.847,0.229
1857,6,-0.725,0.255
1857,7,-0.556,0.273
1857,8,-0.504,0.211
1857,9,-0.515,0.195
1857,10,-0.497,0.233
1857,11,-0.504,0.264
1857,12,-0.272,0.282
1858,1,-0.14,0.351
1858,2,-0.492,0.296
1858,3,-0.358,0.253
1858,4,-0.208,0.214
1858,5,-0.494,0.187
1858,6,-0.571,0.247
1858,7,-0.514,0.177
1858,8,-0.502,0.189
1858,9,-0.522,0.176
1858,10,-0.284,0.236
1858,11,-0.241,0.285
1858,12,-0.493,0.298
1859,1,-0.31,0.305
1859,2,-0.437,0.358
1859,3,-0.243,0.313
1859,4,-0.138,0.192
1859,5,-0.226,0.216
1859,6,-0.325,0.225
1859,7,-0.49,0.189
1859,8,-0.529,0.179
1859,9,-0.725,0.169
1859,10,-0.464,0.199
1859,11,-0.344,0.251
1859,12,-0.245,0.356
1860,1,-0.372,0.35
1860,2,-0.471,0.337
1860,3,-0.828,0.378
1860,4,-0.488,0.215
1860,5,-0.423,0.219
1860,6,-0.393,0.166
1860,7,-0.307,0.243
1860,8,-0.232,0.216
1860,9,-0.295,0.203
1860,10,-0.315,0.223
1860,11,-0.609,0.193
1860,12,-1.014,0.296
1861,1,-1.16,0.415
1861,2,-0.849,0.31
1861,3,-0.58,0.237
1861,4,-0.386,0.208
1861,5,-0.515,0.208
1861,6,-0.413,0.248
1861,7,-0.353,0.209
1861,8,-0.286,0.205
1861,9,-0.442,0.201
1861,10,-0.477,0.21
1861,11,-0.358,0.227
1861,12,-0.516,0.407
1862,1,-0.825,0.529
1862,2,-0.788,0.294
1862,3,-0.407,0.322
1862,4,-0.478,0.412
1862,5,-0.382,0.229
1862,6,-0.402,0.202
1862,7,-0.456,0.199
1862,8,-0.552,0.202
1862,9,-0.66,0.196
1862,10,-0.546,0.266
1862,11,-0.738,0.367
1862,12,-0.985,0.369
1863,1,-0.099,0.389
1863,2,-0.29,0.429
1863,3,-0.329,0.31
1863,4,-0.31,0.301
1863,5,-0.287,0.266
1863,6,-0.477,0.197
1863,7,-0.434,0.247
1863,8,-0.464,0.215
1863,9,-0.561,0.214
1863,10,-0.461,0.233
1863,11,-0.413,0.253
1863,12,-0.308,0.337
1864,1,-0.542,0.359
1864,2,-0.525,0.418
1864,3,-0.469,0.268
1864,4,-0.38,0.228
1864,5,-0.247,0.216
1864,6,-0.158,0.192
1864,7,-0.237,0.194
1864,8,-0.409,0.193
1864,9,-0.579,0.19
1864,10,-0.364,0.242
1864,11,-0.402,0.296
1864,12,-0.5,0.295
1865,1,0.053,0.361
1865,2,-0.452,0.344
1865,3,-0.565,0.311
1865,4,-0.468,0.303
1865,5,-0.362,0.229
1865,6,-0.215,0.193
1865,7,-0.239,0.238
1865,8,-0.271,0.24
1865,9,-0.258,0.225
1865,10,-0.284,0.248
1865,11,-0.211,0.287
1865,12,-0.477,0.374
1866,1,-0.006,0.405
1866,2,-0.366,0.327
1866,3,-0.46,0.273
1866,4,-0.533,0.227
