"em","country","sector","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
"CH4","abw","1A1a_Electricity-autoproducer","ktCH4",6.10583717004728e-07,4.12506435724897e-07,4.10314221363468e-07,4.07905565376711e-07,4.04744166965298e-07,1.48197304833886e-06,1.46159232318329e-06,1.83580854801688e-06,1.80472897058642e-06,2.15536255312837e-06,3.63548826961758e-07,3.62430808614044e-07,3.63331397322561e-07,3.64862990580728e-07,3.65135861244366e-07,3.63014266757486e-07,3.57713789707443e-07,0,0,0,1.18772056124612e-05,1.27896797623093e-05,1.25605998069229e-05,1.86373818180958e-05,2.07570610180594e-05,1.82132328038799e-05,1.19262517556372e-05,1.34375453574023e-05,2.37338121076044e-05,6.39391911683195e-05,2.39416949406284e-05,2.42449265914985e-05,2.49702710108032e-05,2.22007805697146e-05,2.64840236184738e-05,1.98766070863929e-05,2.01143622089e-05,1.99022170961681e-05,1.77935779964534e-05,1.75415841887693e-05,1.78635893038233e-05,1.47265712876373e-05,7.78655580574625e-05,7.81094726343066e-05,7.89749474871913e-05
"CH4","abw","1A1a_Electricity-public","ktCH4",0.000978438603151322,0.00095937489916715,0.000893727504652215,0.000923334623608841,0.000693675818409405,0.000629280901546962,0.00137390662401364,0.00063344911566381,0.0007751895728958,0.00067741184812042,0.000672251338358955,0.000912520572155674,0.000960455067175573,0.000470768257806582,0.00106475306185398,0.00129285801883715,0.000266334368923793,0.000603502109152295,0.000830716905631112,0.000721027376714541,0.0019394309845876,0.00230432583000872,0.00213743940019307,0.0023413626181819,0.00248924293898194,0.00254178676719612,0.00145807374824436,0.0014665624546426,0.00149626618789239,0.00148606080883168,0.00153605830505937,0.0015757550734085,0.00158502972898919,0.00159779921943029,0.00164351597638154,0.00165012339291361,0.0016798856377911,0.00169009778290383,0.00171220642200354,0.00167814405046849,0.00167027857498998,0.00202292701366424,0.00212879960069815,0.00227847829144509,0.00231066319226804
"CH4","abw","1A1a_Heat-production","ktCH4",8.15365502626099e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","1A1bc_Other-transformation","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","1A2a_Ind-Comb-Iron-steel","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","1A2b_Ind-Comb-Non-ferrous-metals","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","1A2c_Ind-Comb-Chemicals","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","1A2d_Ind-Comb-Pulp-paper","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","1A2e_Ind-Comb-Food-tobacco","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","1A2f_Ind-Comb-Non-metalic-minerals","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","1A2g_Ind-Comb-Construction","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","1A2g_Ind-Comb-machinery","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","1A2g_Ind-Comb-mining-quarying","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
