Annual mean global surface dry-air mole fractions derived from NOAA/ESRL/GMD measurements and historical records (Butler et al.),,,,,,,,,,,,,,,,,,,,
,Used to derive radiative forcing and the AGGI for 2017,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HCFC-22,CFC-113,CFC-11,HCFC-141b,CCl4,CFC-12,HCFC-142b,CH3CCl3,H-1211,H-1301,H-2402,HFC-134a,HFC-152a,HFC-143a,HFC-125,HFC-23,SF6
,ppm,ppb,ppb,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt
1979.5,336.8,1577.6,300.9,38.6,18.8,159,nd,92.6,286.5,0.3,78.7,0.39,0.21,0.1,nd,nd,nd,nd,2.8,0.75
1980.5,338.8,1594.7,301,42.4,21.5,167.9,nd,94,301.9,0.3,85.9,0.48,0.28,0.11,nd,nd,nd,nd,3.1,0.85
1981.5,340,1611.9,302,46.2,24.4,175.9,nd,94.9,319.4,0.3,92.2,0.58,0.35,0.13,nd,nd,nd,nd,3.4,0.96
1982.5,340.8,1629.2,303.2,50,27.6,184,nd,95.9,335.5,0.4,96.3,0.7,0.44,0.15,nd,nd,nd,nd,3.8,1.06
1983.5,342.4,1636.8,303.7,54.2,31,193.1,nd,97.3,352.8,0.4,100.7,0.83,0.55,0.17,nd,nd,nd,nd,4.1,1.19
1984.5,344,1644.5,304.7,58.5,35.4,201.5,nd,98.8,367.6,0.5,105.7,0.98,0.67,0.19,nd,nd,nd,nd,4.5,1.31
1985.5,345.5,1657.3,305.3,62.9,40,213,nd,99.9,383.7,0.5,109.6,1.15,0.81,0.21,nd,nd,nd,nd,4.9,1.46
1986.5,346.9,1669.8,306.4,67.4,44.3,223.1,nd,101.1,402.7,0.6,112.1,1.35,0.97,0.23,nd,nd,nd,nd,5.3,1.61
1987.5,348.6,1682,306.1,72.4,50.5,233.9,nd,102.4,423.5,0.8,116.3,1.59,1.16,0.25,nd,nd,nd,nd,5.7,1.78
1988.5,351.2,1693.2,306.7,78.2,57.9,244.8,nd,103.5,447.9,1,121.7,1.87,1.36,0.28,nd,nd,nd,nd,6.2,1.95
1989.5,352.8,1704.2,307.9,84.3,64.5,253.5,nd,104.5,466.9,1.2,124.5,2.16,1.56,0.3,nd,nd,nd,nd,6.8,2.14
1990.5,354,1714,308.7,90.4,70.3,259.5,nd,105.6,481.8,1.7,127.9,2.45,1.75,0.33,nd,nd,nd,nd,7.4,2.33
1991.5,355.3,1724.6,309.3,96.7,76,264,nd,105.7,493.8,2.4,130.9,2.71,1.91,0.35,nd,nd,nd,nd,8,2.54
1992.5,356,1735.3,309.9,101.9,80.2,266.7,0.35,107.6,505.9,3.2,135.2,2.89,2.17,0.36,0.27,0.42,0.55,0.14,8.6,2.75
1993.5,356.7,1736.3,310.2,105.6,82.1,267.9,0.71,106.8,512,4.4,128.9,3.06,2.32,0.39,0.48,0.5,0.62,0.17,9.3,2.98
