*****************************************************
*** Source: D.I. Stern* and R.K. Kaufmann         ***
*** Center for Energy and Environmental Studies   ***
*** Boston University                             ***
*** 675 Commonwealth Avenue                       ***
*** Boston, Massachusetts 02215, U.S.A.           ***
***   *current address:                           ***
***    Center for Resource and Environ. Studies   ***
***    Australian National University             ***
***    Canberra ACT 0200                          ***
***    Australia                                  ***
***                                               ***
*** Last revision - August 1998                   ***
*****************************************************

Global historical anthropogenic CH4 emissions expressed in Tg
(teragrams; 1 Tg = 10^12 g) of methane.

Year     Gas Flaring      Gas Supply     Coal Mining Biomass Burning       Livestock       Rice etc.       Landfills           Total
1860             0.0             0.0             2.2             9.8            25.6            40.1             1.6            79.3
1861             0.0             0.0             2.3            10.0            25.7            40.3             1.6            80.0
1862             0.0             0.0             2.3            10.1            25.8            40.4             1.7            80.4
1863             0.0             0.0             2.5            10.3            25.9            40.6             1.7            81.0
1864             0.0             0.0             2.7            10.4            26.0            40.7             1.7            81.6
1865             0.0             0.0             2.9            10.5            26.1            40.9             1.8            82.2
1866             0.0             0.0             3.0            10.5            26.2            41.1             1.8            82.7
1867             0.0             0.0             3.2            10.6            26.3            41.2             1.9            83.3
1868             0.0             0.0             3.2            10.6            26.4            41.4             1.9            83.6
1869             0.0             0.0             3.3            10.7            26.5            41.6             2.0            84.1
1870             0.0             0.0             3.4            10.8            26.6            41.7             2.0            84.6
1871             0.0             0.0             3.8            11.0            26.7            41.9             2.1            85.5
1872             0.0             0.0             4.1            11.1            26.8            42.1             2.1            86.3
1873             0.0             0.0             4.4            11.2            27.0            42.2             2.2            87.0
1874             0.0             0.0             4.3            11.2            27.1            42.4             2.2            87.2
1875             0.0             0.0             4.4            11.3            27.2            42.6             2.3            87.8
1876             0.0             0.0             4.4            11.4            27.4            42.9             2.4            88.5
1877             0.0             0.0             4.5            11.5            27.6            43.3             2.4            89.3
1878             0.0             0.0             4.5            11.5            27.8            43.6             2.5            90.0
1879             0.0             0.0             4.8            11.6            28.0            44.0             2.5            90.9
1880             0.1             0.0             5.2            11.6            28.3            44.3             2.6            92.0
1881             0.1             0.0             5.6            12.3            28.5            44.7             2.7            93.7
1882             0.1             0.0             6.0            12.5            28.7            45.0             2.7            95.0
1883             0.1             0.0             6.4            12.6            28.9            45.4             2.8            96.2
1884             0.1             0.0             6.4            12.8            29.2            45.7             2.9            97.0
1885             0.1             0.0             6.3            12.8            29.4            46.1             3.0            97.7
1886             0.1             0.0             6.3            12.9            29.6            46.5             3.0            98.5
1887             0.1             0.0             6.7            13.0            29.8            46.9             3.1            99.6
1888             0.1             0.0             7.3            13.0            30.1            47.2             3.2           100.9
1889             0.1             0.0             7.4            13.0            30.3            47.6             3.3           101.7
1890             0.1             0.0             7.8            13.0            30.6            48.0             3.3           102.9
1891             0.2             0.0             8.1            13.1            30.8            48.4             3.4           104.0
1892             0.2             0.0             8.2            13.1            31.0            48.8             3.5           104.8
1893             0.2             0.0             8.0            13.1            31.3            49.2             3.6           105.3
1894             0.2             0.0             8.4            13.1            31.5            49.5             3.7           106.4
1895             0.2             0.0             8.8            13.1            31.8            49.9             3.8           107.6
1896             0.2             0.0             9.1            13.1            32.0            50.3             3.9           108.6
1897             0.2             0.1             9.5            13.1            32.3            50.7             4.0           109.8
1898             0.2             0.1            10.0            13.0            32.5            51.2             4.1           111.1
1899             0.2             0.1            10.9            13.0            32.8            51.6             4.2           112.8
1900             0.3             0.1            11.5            13.1            33.1            52.0             4.3           114.2
1901             0.3             0.1            11.8            14.5            33.3            52.2             4.4           116.5
1902             0.3             0.1            12.0            14.8            33.6            52.5             4.5           117.8
1903             0.3             0.1            13.1            15.2            33.9            52.7             4.6           119.9
1904             0.4             0.1            13.2            15.4            34.1            52.9             4.8           121.0
1905             0.4             0.1            13.9            15.7            34.4            53.2             4.9           122.6
1906             0.4             0.1            15.0            15.9            34.7            53.4             5.0           124.5
1907             0.4             0.1            16.6            16.0            35.0            53.7             5.1           126.9
1908             0.5             0.1            15.7            16.1            35.3            53.9             5.3           126.8
1909             0.5             0.1            16.4            16.2            35.5            54.1             5.4           128.2
1910             0.5             0.1            17.1            16.2            35.8            54.4             5.5           129.7
1911             0.6             0.1            17.4            15.0            36.1            54.6             5.7           129.5
1912             0.6             0.1            18.3            14.7            36.4            54.8             5.8           130.8
1913             0.6             0.2            19.6            14.1            36.7            55.1             6.0           132.3
1914             0.7             0.2            17.5            14.0            37.0            55.3             6.1           130.8
1915             0.7             0.2            17.3            13.8            37.3            55.5             6.3           131.1
1916             0.7             0.2            18.6            13.9            37.6            55.8             6.4           133.2
1917             0.8             0.2            19.6            13.9            37.9            56.0             6.6           135.0
1918             0.8             0.2            19.3            13.9            38.2            56.2             6.7           135.4
1919             0.9             0.2            16.8            14.0            38.5            56.4             6.9           133.8
1920             1.2             0.2            19.3            14.0            38.8            56.7             7.1           137.3
1921             1.2             0.2            16.3            15.1            39.2            56.9             7.3           136.1
1922             1.4             0.2            17.4            15.5            39.5            57.1             7.5           138.5
1923             1.6             0.3            19.4            15.8            39.8            57.3             7.6           141.9
1924             1.6             0.3            19.2            16.1            40.1            57.5             7.8           142.7
1925             1.7             0.3            19.2            16.3            40.4            57.8             8.0           143.8
1926             1.7             0.3            19.1            16.5            40.8            58.0             8.2           144.7
1927             2.0             0.4            20.6            16.5            41.2            58.3             8.4           147.5
1928             2.1             0.4            20.3            16.6            41.6            58.6             8.7           148.2
1929             2.3             0.5            21.5            16.1            42.0            58.9             8.9           150.2
1930             2.2             0.5            19.7            16.0            42.4            59.2             9.1           148.9
1931             2.1             0.5            17.4            16.2            42.8            59.4             9.3           147.7
1932             2.0             0.4            15.5            16.1            43.2            59.7             9.6           146.5
1933             2.2             0.4            16.2            16.0            43.6            60.0             9.8           148.1
1934             2.3             0.5            17.6            16.0            44.0            60.2            10.1           150.6
1935             2.5             0.5            18.0            15.9            44.4            60.5            10.3           152.0
1936             2.7             0.6            20.1            16.0            44.8            60.8            10.6           155.4
1937             3.0             0.6            21.1            15.9            45.2            61.0            10.8           157.8
1938             2.9             0.6            19.8            15.8            45.6            61.3            11.1           157.2
1939             3.1             0.7            21.1            15.7            46.0            61.6            11.4           159.5
1940             3.1             0.7            22.3            15.5            46.5            61.8            11.7           161.6
1941             3.0             0.8            23.3            15.4            46.9            62.1            12.0           163.3
1942             2.8             0.8            23.4            15.2            47.3            62.3            12.3           164.1
1943             3.0             0.9            23.4            15.1            47.8            62.6            12.6           165.4
1944             3.4             1.0            22.4            15.0            48.2            62.8            12.9           165.8
1945             3.6             1.1            18.8            14.9            48.7            63.0            13.2           163.4
1946             3.9             1.1            19.6            16.1            49.1            63.3            13.6           166.8
1947             4.3             1.3            22.0            16.4            49.6            63.5            13.9           171.1
1948             4.8             1.4            23.0            16.7            50.0            63.8            14.3           174.0
1949             4.8             1.5            21.9            16.8            50.5            64.0            14.6           174.1
1950             6.1             1.6            22.6            16.9            51.0            64.2            15.0           177.5
1951             6.4             1.9            23.9            21.6            51.9            65.0            15.4           186.1
1952             6.9             2.1            23.7            22.7            52.9            65.8            15.8           189.9
1953             7.2             2.2            23.8            22.9            53.8            66.6            16.2           192.6
1954             7.2             2.3            23.6            23.4            54.8            67.4            16.6           195.3
1955             8.3             2.5            25.2            24.3            55.8            68.2            17.0           201.3
1956             8.5             2.7            26.5            24.7            56.8            69.0            17.4           205.7
1957             9.3             3.0            27.4            25.1            57.9            69.9            17.9           210.4
1958             9.3             3.2            28.4            25.3            58.9            70.7            18.3           214.2
1959             9.6             3.6            29.5            23.7            60.0            71.5            18.8           216.7
1960            10.4             3.9            30.3            23.7            61.1            72.4            19.3           221.1
1961            11.2             4.2            28.8            26.6            62.3            73.3            19.8           226.3
1962            11.7             4.6            28.7            27.5            63.6            74.3            20.3           230.7
1963            12.5             5.0            29.6            28.3            64.8            75.3            20.8           236.3
1964            13.6             5.5            30.3            29.0            66.1            76.3            21.3           242.1
1965            14.7             5.9            30.8            29.5            67.5            77.3            21.8           247.4
1966            16.0             6.4            31.1            29.7            68.9            78.3            22.4           252.6
1967            17.6             6.9            30.2            29.8            70.3            79.4            23.0           257.0
1968            19.5             7.4            30.3            30.0            71.7            80.4            23.5           262.9
1969            21.3             8.1            31.2            30.2            73.2            81.5            24.1           269.6
1970            23.2             8.6            32.3            29.7            74.7            82.5            24.7           275.8
1971            23.5             9.3            32.3            27.4            76.2            83.5            25.4           277.5
1972            25.1             9.7            32.6            26.6            77.7            84.5            26.0           282.2
1973            29.3            10.2            32.7            27.0            79.2            85.5            26.7           290.6
1974            28.5            10.3            32.4            27.0            80.8            86.5            27.3           292.9
1975            24.8            10.4            34.1            27.0            82.4            87.5            28.0           294.3
1976            29.1            10.8            34.7            29.0            83.8            88.3            28.7           304.5
1977            27.7            10.8            35.8            29.6            85.3            89.2            29.5           307.8
1978            28.5            11.3            36.3            29.9            86.7            89.9            30.2           312.9
1979            26.7            11.9            38.0            30.9            88.2            90.7            31.0           317.5
1980            23.7            12.1            38.8            31.2            89.8            91.5            31.8           318.9
1981            19.2            12.3            38.0            33.5            91.4            92.3            32.6           319.3
1982            18.4            12.2            39.6            34.2            93.0            93.1            33.4           323.9
1983            16.8            12.3            40.1            34.5            94.6            93.9            34.2           326.5
1984            15.5            13.2            41.7            35.6            96.3            94.7            35.1           332.1
1985            15.2            13.7            45.2            36.0            98.0            95.5            36.0           339.6
1986            14.4            14.0            46.4            37.2            99.6            96.2            36.5           344.3
1987            13.6            15.1            47.8            37.8           101.3            96.9            36.9           349.4
1988            14.1            15.9            49.0            38.0           103.0            98.0            37.4           355.3
1989            13.3            16.4            49.5            37.7           104.7            98.3            37.8           357.8
1990            16.0            17.1            47.8            37.6           106.5            99.0            38.3           362.3
1991            18.9            17.2            46.4            37.5           108.2            99.5            38.8           366.5
1992            16.8            17.0            47.0            37.5           109.8           100.0            39.3           367.4
1993            15.2            17.5            45.5            37.4           111.4           100.4            39.8           367.2
1994            15.2            18.0            46.3            37.4           113.1           100.8            40.3           371.0


