Year,CH4
1890,81.3336815952648
1900,94.0923701539469
1910,107.411233954988
1920,123.850335096708
1930,135.467191798348
1940,144.991038214657
1950,165.386976026763
1960,207.808390610402
1970,241.294190308535
1971,249.206723857708
1972,251.468199827639
1973,255.439398314058
1974,257.508231385134
1975,261.390871604755
1976,264.518500476344
1977,266.844946429457
1978,268.63465990399
1979,273.311380601278
1980,275.724199044147
1981,275.172764620456
1982,276.835139677362
1983,277.392888392189
1984,282.982805318526
1985,288.968561713636
1986,293.329739787285
1987,296.157189176593
1988,300.852069123656
1989,306.591500539808
1990,301.781230172498
1991,300.220170606204
1992,298.309081300269
1993,297.462266870075
1994,298.223520779082
1995,301.915074689614
