Year,CO2
1890,0.688765814455106
1900,0.921130718664493
1910,1.27474593245054
1920,1.49965716411713
1930,1.76333218324632
1940,1.96159512107388
1950,2.44454606077505
1960,3.64517706291369
1970,4.98731343860737
1971,5.10033762622223
1972,5.31760154174101
1973,5.54347479952125
1974,5.58511995523678
1975,5.56306868831321
1976,5.83969531310376
1977,6.0100152603016
1978,6.17385000135441
1979,6.31676510323205
1980,6.33394174627256
1981,6.2266684714329
1982,6.12669966237247
1983,6.14721259703819
1984,6.3117190415245
1985,6.48062535284345
1986,6.49322812034733
1987,6.64248246464867
1988,6.81180831279845
1989,6.88324795213394
1990,7.04362677102616
1991,7.00531101057907
1992,6.91693988499052
1993,7.10572689958624
1994,7.17569572653193
1995,7.34690520414833
