Year,N2O (TgN)
1890,0.7180179147
1900,0.7976554448
1910,0.8935972637
1920,1.0466181709
1930,1.1718293581
1940,1.2532496163
1950,2.5254633629
1960,2.988804323
1970,5.3130232376
1971,5.4519690404
1972,5.5740113176
1973,5.7597965857
1974,5.838322272
1975,6.0294635967
1976,6.0815718385
1977,6.1931931338
1978,6.3513496768
1979,6.4629308442
1980,6.5503376716
1981,6.5786974488
1982,6.6137700651
1983,6.7020346923
1984,6.8374833331
1985,6.8289046847
1986,6.8716969851
1987,6.9721687613
1988,7.0547778206
1989,7.1722115249
1990,7.1473235237
1991,7.0627785386
1992,7.0583014379
1993,7.0111718337
1994,7.1195983757
1995,7.303877484
