"Model","Scenario","Region","Variable","Unit","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","World","Emissions|CH4","Mt CH4/yr",367.7457,380.4086,385.0877,229.1313,182.2792,155.222,133.4843,115.1794,106.6429,107.6389,111.0836,115.9752,116.5906,118.0872,120.9023,122.0036,120.1977,133.5733,133.5872
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","World","Emissions|CO2","Mt CO2/yr",38148.9465,41270.1063,43907.5503,30788.2256,21076.1268,12666.2737,5447.7891,-543.6871,-413.2438,-3728.9053,-5258.9563,-6501.4728,-7657.0574,-8285.7706,-8418.9858,-9072.2251,-9964.3564,-8276.8093,-8611.3823
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","World","Emissions|N2O","kt N2O/yr",9890.1288,10234.3834,10538.1757,6272.9887,5468.549,5168.4725,5045.3513,5047.6297,5490.8319,5494.9839,5629.8343,5820.589,5840.9609,5880.0052,5982.2906,6020.1027,5945.5888,6465.4927,6459.3402
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","World","Concentration|CH4","ppb",1794.2445,0,1905.3671,0,1754.3348,0,1431.3329,0,1251.5508,0,1174.7553,0,1171.2464,0,1188.0545,0,1201.3333,0,1218.3414
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","World","Concentration|CO2","ppm",389.2047,0,414.9306,0,433.0447,0,433.0209,0,424.6932,0,414.2646,0,402.8746,0,392.3385,0,382.6087,0,374.3948
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","World","Concentration|N2O","ppb",321.917,0,325.8275,0,327.1816,0,324.3156,0,321.5898,0,319.5289,0,317.8784,0,316.6158,0,315.5531,0,314.8476
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","World","Temperature|Global Mean","°C",0.9758,0,1.2401,0,1.4851,0,1.5424,0,1.5238,0,1.4662,0,1.4101,0,1.3533,0,1.2915,0,1.2333
"AIM/CGE 2.0","SSP1-19","World","Emissions|CH4","Mt CH4/yr",368.1046,"",374.4576,"",129.1583,"",96.8493,"",72.1649,"",61.704,"",57.2134,"",53.0908,"",51.0139,"",46.98
"AIM/CGE 2.0","SSP1-19","World","Emissions|CO2","Mt CO2/yr",35782.6485,"",37233.8898,"",19057.4933,"",8229.32,"",1794.6177,"",-2181.1692,"",-3757.0794,"",-4338.2188,"",-4390.4928,"",-4474.8741
"AIM/CGE 2.0","SSP1-19","World","Emissions|N2O","kt N2O/yr",9515.5122,"",10088.9093,"",5976.8067,"",5673.8258,"",5485.1506,"",5163.6196,"",5018.8421,"",4831.8953,"",4683.7174,"",4404.8933
"AIM/CGE 2.0","SSP2-19","World","Emissions|CH4","Mt CH4/yr",371.5651,"",382.4708,"",153.5126,"",120.0432,"",98.4188,"",92.3257,"",91.6684,"",91.157,"",91.1737,"",91.423
"AIM/CGE 2.0","SSP2-19","World","Emissions|CO2","Mt CO2/yr",38205.4102,"",43338.0757,"",20138.5523,"",8223.192,"",399.2375,"",-4896.1064,"",-7038.6183,"",-7989.1827,"",-8407.2675,"",-8986.8596
"AIM/CGE 2.0","SSP2-19","World","Emissions|N2O","kt N2O/yr",9553.9557,"",10293.442,"",6598.5051,"",6396.7311,"",6534.6919,"",6489.322,"",6606.0376,"",6700.2851,"",6776.1907,"",6828.6377
"AIM/CGE 2.1","CD-LINKS_NPi2020_400","World","Emissions|CH4","Mt CH4/yr",365.1881,376.5834,384.626,253.3319,207.1768,173.6853,155.2763,133.7187,116.5122,118.4451,122.0508,125.8679,129.7341,131.7857,129.5205,128.9063,130.2725,131.1206,126.1078
"AIM/CGE 2.1","CD-LINKS_NPi2020_400","World","Emissions|CO2","Mt CO2/yr",33910.33,36077.2607,38682.7636,29352.4509,21604.8704,13371.3932,6795.0827,-279.4315,-4957.6403,-6502.5316,-7023.2802,-7010.6706,-7004.2178,-6977.658,-6913.2913,-6879.239,-6773.2306,-6846.3809,-6818.7646
"AIM/CGE 2.1","CD-LINKS_NPi2020_400","World","Emissions|N2O","kt N2O/yr",9967.1718,10438.9443,10710.9759,7033.7708,6244.1786,5836.0924,5844.4473,5787.3365,5865.314,5892.8207,6022.9636,6179.6952,6338.2225,6425.7531,6348.0943,6328.8862,6383.6023,6416.7861,6218.7665
"AIM/CGE 2.1","EMF33_WB2C_cost100","World","Emissions|CH4","Mt CH4/yr",367.0774,380.0922,385.1259,246.8235,204.6863,166.0879,155.2685,148.7757,143.9263,148.4341,144.6245,137.5485,128.5216,133.3383,137.9996,142.3409,146.2101,149.5124,152.4738
"AIM/CGE 2.1","EMF33_WB2C_cost100","World","Emissions|CO2","Mt CO2/yr",37824.4259,40688.8685,43736.3442,32690.4514,25635.644,14850.9901,14951.0417,9870.6822,8028.0765,2881.9281,-97.5015,-2751.0195,-3308.3976,-1656.3051,-1987.684,-1279.9679,-1001.174,-656.325,-347.1958
"AIM/CGE 2.1","EMF33_WB2C_cost100","World","Emissions|N2O","kt N2O/yr",9948.4206,10330.1569,10588.8734,6862.9276,6206.2342,5612.4993,5817.9948,6253.1325,6854.5041,7078.2824,6957.9993,6701.905,6343.2177,6530.3316,6714.2638,6886.7105,7042.2996,7175.2161,7295.8931
"AIM/CGE 2.1","TERL_15D_LowCarbonTransportPolicy","World","Emissions|CH4","Mt CH4/yr",366.2435,381.6135,392.8793,254.0004,200.0049,165.4926,158.092,155.5761,156.237,168.1639,172.0967,173.7974,173.3518,169.8498,167.3125,160.6825,152.622,140.068,137.2885
"AIM/CGE 2.1","TERL_15D_LowCarbonTransportPolicy","World","Emissions|CO2","Mt CO2/yr",33899.2827,36228.6641,38995.4282,30261.0102,19725.4363,8663.6334,6200.6457,3907.3671,1749.3975,-916.7166,-2602.216,-3774.3033,-4687.898,-5346.2951,-6078.7119,-6939.1161,-7828.8792,-8814.3516,-9040.7774
"AIM/CGE 2.1","TERL_15D_LowCarbonTransportPolicy","World","Emissions|N2O","kt N2O/yr",9895.7278,10396.8904,10745.4571,6788.2496,5726.4572,5240.4429,5597.51,6190.432,7009.1107,7459.2975,7627.8085,7734.1176,7772.2821,7702.6475,7647.5055,7437.9081,7157.6682,6693.3131,6590.0618
"AIM/CGE 2.1","TERL_15D_LowCarbonTransportPolicy","World","Concentration|CH4","ppb",1794.2203,1857.2402,1917.3434,1920.6579,1793.2337,1616.8791,1488.4945,1399.7945,1347.7403,1322.4371,1321.1469,1330.6215,1339.4999,1346.4882,1347.6165,1343.819,1332.7385,1317.6647,1301.7756
