"Model","Scenario","Region","Variable","Unit","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","World","Forcing","W/m2",2.062,0,2.6103,0,2.928,0,2.7882,0,2.5854,0,2.3667,0,2.1948,0,2.0391,0,1.8872,0,1.7708
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","World","Forcing|CH4","W/m2",0.4954,0,0.5359,0,0.4806,0,0.3534,0,0.2761,0,0.2413,0,0.2397,0,0.2474,0,0.2535,0,0.2612
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","World","Forcing|CO2","W/m2",1.82,0,2.1626,0,2.3913,0,2.391,0,2.2871,0,2.154,0,2.0048,0,1.8629,0,1.7285,0,1.6124
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","World","Forcing|N2O","W/m2",0.1622,0,0.1745,0,0.1788,0,0.1698,0,0.1612,0,0.1547,0,0.1494,0,0.1454,0,0.1421,0,0.1398
"AIM/CGE 2.1","TERL_15D_LowCarbonTransportPolicy","World","Forcing","W/m2",2.0639,2.3245,2.5968,2.8387,2.9298,2.8767,2.8057,2.7101,2.637,2.5687,2.5152,2.4667,2.4183,2.3647,2.3066,2.2426,2.1691,2.0926,2.0194
"AIM/CGE 2.1","TERL_15D_LowCarbonTransportPolicy","World","Forcing|CH4","W/m2",0.4954,0.5185,0.5402,0.5414,0.495,0.4281,0.3769,0.3402,0.3181,0.3072,0.3067,0.3108,0.3146,0.3176,0.3181,0.3164,0.3117,0.3051,0.2982
"AIM/CGE 2.1","TERL_15D_LowCarbonTransportPolicy","World","Forcing|CO2","W/m2",1.8154,1.964,2.1257,2.2686,2.3491,2.3779,2.3721,2.3404,2.3079,2.2701,2.2283,2.1829,2.1355,2.088,2.0376,1.9871,1.9309,1.8741,1.8197
"AIM/CGE 2.1","TERL_15D_LowCarbonTransportPolicy","World","Forcing|N2O","W/m2",0.1622,0.1682,0.1748,0.18,0.1799,0.1761,0.1723,0.1691,0.1675,0.1672,0.1677,0.1686,0.1696,0.1706,0.1715,0.172,0.172,0.1714,0.1704
"AIM/CGE 2.1","TERL_15D_NoTransportPolicy","World","Forcing","W/m2",2.0677,2.3359,2.6134,2.8614,2.9592,2.9076,2.8372,2.7394,2.6633,2.5955,2.5423,2.4935,2.444,2.3884,2.3285,2.2616,2.1853,2.1066,2.0308
"AIM/CGE 2.1","TERL_15D_NoTransportPolicy","World","Forcing|CH4","W/m2",0.4954,0.5176,0.536,0.5339,0.4872,0.4217,0.3717,0.3354,0.313,0.3012,0.2994,0.3019,0.3036,0.3044,0.3029,0.2996,0.2933,0.2851,0.2761
"AIM/CGE 2.1","TERL_15D_NoTransportPolicy","World","Forcing|CO2","W/m2",1.8161,1.9682,2.1349,2.2825,2.3653,2.3952,2.3903,2.3595,2.328,2.2913,2.2508,2.207,2.1617,2.1166,2.0686,2.0207,1.9669,1.9127,1.8611
